UF,Size,File,MaxTreeHeight,ArrayAccesses,RevisitConnections,RuntimeMs
QuickFind,1k,a,0,1003232,3,11.00
QuickFind,1k,b,0,1327247,50,3.13
QuickFind,1k,c,0,1502497,500,12.21
QuickFind,1k,d,0,1501497,0,11.69
QuickFind,1k,e,0,1501497,0,11.46
QuickFind,10k,a,0,100041236,2,101.96
QuickFind,10k,b,0,132492495,502,42.40
QuickFind,10k,c,0,150024997,5000,44.01
QuickFind,10k,d,0,150014997,0,42.72
QuickFind,10k,e,0,150014997,0,42.29
QuickFind,100k,a,0,10000624801,0,3075.79
QuickFind,100k,b,0,13249924995,5002,3759.37
QuickFind,100k,c,0,15000249997,50000,4066.70
QuickFind,100k,d,0,15000149997,0,4061.30
QuickFind,100k,e,0,15000149997,0,4066.06
QuickFind,1000k,a,0,1000003198253,3,302670.99
QuickFind,1000k,b,0,1324915249939,50058,375635.45
QuickFind,1000k,c,0,1500002499997,500000,404146.88
QuickFind,1000k,d,0,1500001499997,0,403782.89
QuickFind,1000k,e,0,1500001499997,0,404739.42
QuickUnion,1k,a,121,33260,173,0.94
QuickUnion,1k,b,500,60816,100,0.60
QuickUnion,1k,c,999,765997,500,2.28
QuickUnion,1k,d,999,263439,0,1.21
QuickUnion,1k,e,999,5994,0,0.34
QuickUnion,10k,a,1100,2436756,1574,7.34
QuickUnion,10k,b,5000,5044979,1000,12.45
QuickUnion,10k,c,9999,74682185,5000,158.90
QuickUnion,10k,d,9999,24977406,0,55.35
QuickUnion,10k,e,9999,59994,0,1.16
QuickUnion,100k,a,9964,220313485,16316,1364.76
QuickUnion,100k,b,50000,496621168,10000,1024.38
QuickUnion,100k,c,99999,7496050564,50000,15283.57
QuickUnion,100k,d,99999,2505260306,0,5717.62
QuickUnion,100k,e,99999,599994,0,9.62
QuickUnion,1000k,a,101103,22241301780,161739,191991.44
QuickUnion,1000k,b,500000,49995947759,100000,106137.54
QuickUnion,1000k,c,999999,750042942095,500000,1590680.00
QuickUnion,1000k,d,999999,250148300641,0,530980.63
QuickUnion,1000k,e,999999,5999994,0,87.05
WeightedQuickUnion,1k,a,4,7293,173,0.75
WeightedQuickUnion,1k,b,2,7691,100,0.44
WeightedQuickUnion,1k,c,1,9984,500,0.53
WeightedQuickUnion,1k,d,1,6984,0,0.51
WeightedQuickUnion,1k,e,1,6992,0,0.32
WeightedQuickUnion,10k,a,6,75016,1574,2.24
WeightedQuickUnion,10k,b,2,77037,1000,1.91
WeightedQuickUnion,10k,c,1,99980,5000,1.97
WeightedQuickUnion,10k,d,1,69981,0,1.22
WeightedQuickUnion,10k,e,1,69992,0,1.23
WeightedQuickUnion,100k,a,8,760101,16316,13.83
WeightedQuickUnion,100k,b,2,769965,10000,9.85
WeightedQuickUnion,100k,c,1,999977,50000,18.81
WeightedQuickUnion,100k,d,1,699978,0,9.55
WeightedQuickUnion,100k,e,1,699992,0,11.40
WeightedQuickUnion,1000k,a,8,7603446,161739,254.09
WeightedQuickUnion,1000k,b,2,7700323,100000,143.80
WeightedQuickUnion,1000k,c,1,9999974,500000,164.25
WeightedQuickUnion,1000k,d,1,6999974,0,150.72
WeightedQuickUnion,1000k,e,1,6999992,0,85.27
WQUUFPathCompression,1k,a,4,9712,173,0.55
WQUUFPathCompression,1k,b,2,10053,100,0.46
WQUUFPathCompression,1k,c,1,12982,500,0.58
WQUUFPathCompression,1k,d,1,8982,0,0.42
WQUUFPathCompression,1k,e,1,8990,0,0.41
WQUUFPathCompression,10k,a,4,98398,1574,3.63
WQUUFPathCompression,10k,b,2,100827,1000,3.77
WQUUFPathCompression,10k,c,1,129978,5000,2.36
WQUUFPathCompression,10k,d,1,89979,0,1.45
WQUUFPathCompression,10k,e,1,89990,0,1.28
WQUUFPathCompression,100k,a,4,986694,16316,16.32
WQUUFPathCompression,100k,b,2,1007088,10000,8.72
WQUUFPathCompression,100k,c,1,1299975,50000,13.83
WQUUFPathCompression,100k,d,1,899976,0,8.80
WQUUFPathCompression,100k,e,1,899990,0,7.40
WQUUFPathCompression,1000k,a,4,9864155,161739,210.83
WQUUFPathCompression,1000k,b,2,10072494,100000,90.41
WQUUFPathCompression,1000k,c,1,12999972,500000,199.65
WQUUFPathCompression,1000k,d,1,8999972,0,163.09
WQUUFPathCompression,1000k,e,1,8999990,0,128.00
