UF,Size,File,MaxTreeHeight,ArrayAccesses,RevisitConnections,RuntimeMs
QuickFind,1k,a,0,1003232,3,11
QuickFind,1k,b,0,1327247,50,3.13
QuickFind,1k,c,0,1502497,500,12.21
QuickFind,1k,d,0,1501497,0,11.69
QuickFind,1k,e,0,1501497,0,11.46
QuickFind,10k,a,0,100041236,2,101.96
QuickFind,10k,b,0,132492495,502,42.4
QuickFind,10k,c,0,150024997,5000,44.01
QuickFind,10k,d,0,150014997,0,42.72
QuickFind,10k,e,0,150014997,0,42.29
QuickFind,100k,a,0,10000624801,0,3075.79
QuickFind,100k,b,0,13249924995,5002,3759.37
QuickFind,100k,c,0,15000249997,50000,4066.7
QuickFind,100k,d,0,15000149997,0,4061.3
QuickFind,100k,e,0,15000149997,0,4066.06
QuickFind,1000k,a,0,1E+12,3,302670.99
QuickFind,1000k,b,0,1.32492E+12,50058,375635.45
QuickFind,1000k,c,0,1.5E+12,500000,404146.88
QuickFind,1000k,d,0,1.5E+12,0,403782.89
QuickFind,1000k,e,0,1.5E+12,0,404739.42
QuickUnion,1k,a,121,33260,173,0.94
QuickUnion,1k,b,500,60816,100,0.6
QuickUnion,1k,c,999,765997,500,2.28
QuickUnion,1k,d,999,263439,0,1.21
QuickUnion,1k,e,999,5994,0,0.34
QuickUnion,10k,a,1100,2436756,1574,7.34
QuickUnion,10k,b,5000,5044979,1000,12.45
QuickUnion,10k,c,9999,74682185,5000,158.9
QuickUnion,10k,d,9999,24977406,0,55.35
QuickUnion,10k,e,9999,59994,0,1.16
QuickUnion,100k,a,9964,220313485,16316,1364.76
QuickUnion,100k,b,50000,496621168,10000,1024.38
QuickUnion,100k,c,99999,7496050564,50000,15283.57
QuickUnion,100k,d,99999,2505260306,0,5717.62
QuickUnion,100k,e,99999,599994,0,9.62
QuickUnion,1000k,a,101103,22241301780,161739,191991.44
QuickUnion,1000k,b,500000,49995947759,100000,106137.54
QuickUnion,1000k,c,999999,7.50043E+11,500000,1590680
QuickUnion,1000k,d,999999,2.50148E+11,0,530980.63
QuickUnion,1000k,e,999999,5999994,0,87.05
WeightedQuickUnion,1k,a,4,7338,173,4.96
WeightedQuickUnion,1k,b,2,7690,100,1.75
WeightedQuickUnion,1k,c,1,9983,500,1.74
WeightedQuickUnion,1k,d,1,6986,0,1
WeightedQuickUnion,1k,e,1,6991,0,1.04
WeightedQuickUnion,10k,a,6,75869,1574,5.8
WeightedQuickUnion,10k,b,2,76944,1000,4.31
WeightedQuickUnion,10k,c,1,99984,5000,5.31
WeightedQuickUnion,10k,d,1,69985,0,2.73
WeightedQuickUnion,10k,e,1,69991,0,2.79
WeightedQuickUnion,100k,a,8,761147,16316,40.53
WeightedQuickUnion,100k,b,2,770016,10000,14.08
WeightedQuickUnion,100k,c,1,999983,50000,25.54
WeightedQuickUnion,100k,d,1,699984,0,14.52
WeightedQuickUnion,100k,e,1,699991,0,11.44
WeightedQuickUnion,1000k,a,8,7576423,161739,616.14
WeightedQuickUnion,1000k,b,2,7699658,100000,210.14
WeightedQuickUnion,1000k,c,1,9999982,500000,414.25
WeightedQuickUnion,1000k,d,1,6999982,0,226.77
WeightedQuickUnion,1000k,e,1,6999991,0,168.84
WQUUFPathCompression,1k,a,3,9773,173,0.82
WQUUFPathCompression,1k,b,2,10064,100,0.69
WQUUFPathCompression,1k,c,1,12981,500,0.76
WQUUFPathCompression,1k,d,1,8984,0,0.61
WQUUFPathCompression,1k,e,1,8989,0,0.28
WQUUFPathCompression,10k,a,4,98870,1574,3.38
WQUUFPathCompression,10k,b,2,100577,1000,1.82
WQUUFPathCompression,10k,c,1,129982,5000,2.44
WQUUFPathCompression,10k,d,1,89983,0,1.7
WQUUFPathCompression,10k,e,1,89989,0,1.18
WQUUFPathCompression,100k,a,4,986777,16316,21.45
WQUUFPathCompression,100k,b,2,1007309,10000,13.45
WQUUFPathCompression,100k,c,1,1299981,50000,57.09
WQUUFPathCompression,100k,d,1,899982,0,11.01
WQUUFPathCompression,100k,e,1,899989,0,9.66
WQUUFPathCompression,1000k,a,4,9858412,161739,389.29
WQUUFPathCompression,1000k,b,2,10071326,100000,157.39
WQUUFPathCompression,1000k,c,1,12999980,500000,383.66
WQUUFPathCompression,1000k,d,1,8999980,0,278.12
WQUUFPathCompression,1000k,e,1,8999989,0,98.93
